Class,Total Score,Paper Count,Year.Quarter,Year_Quarter_Sortable,Cumulative_Total_Score
BIOC,1.4756,1,2018.2,20182,1.4756
BIOC,45.4153,19,2018.4,20184,46.8909
BIOC,4.0688,2,2019.2,20192,50.959700000000005
BIOC,37.203,18,2019.4,20194,88.1627
BIOC,42.7312,20,2020.4,20204,130.8939
BIOC,1.1068,1,2021.2,20212,132.00070000000002
BIOC,40.6154,19,2021.4,20214,172.61610000000002
BIOC,3.9876,2,2022.3,20223,176.6037
BIOC,55.4757,18,2022.4,20224,232.07940000000002
BIOC,4.0296,2,2023.2,20232,236.109
BIOC,7.4568,1,2023.3,20233,243.56580000000002
BIOC,87.5925,17,2023.4,20234,331.1583
CHEM,17.3546,10,2018.4,20184,17.3546
CHEM,27.6131,10,2019.4,20194,44.9677
CHEM,25.4374,10,2020.4,20204,70.4051
CHEM,1.7523,1,2021.1,20211,72.1574
CHEM,30.0819,9,2021.4,20214,102.2393
CHEM,31.4568,10,2022.4,20224,133.6961
CHEM,6.9489,1,2023.2,20232,140.645
CHEM,56.4306,9,2023.4,20234,197.0756
COMP,17.984,10,2018.4,20184,17.984
COMP,22.7915,10,2019.4,20194,40.7755
COMP,2.1335,1,2020.1,20201,42.909
COMP,2.4222,1,2020.3,20203,45.3312
COMP,22.6319,8,2020.4,20204,67.9631
COMP,17.2307,10,2021.4,20214,85.19380000000001
COMP,32.7025,10,2022.4,20224,117.8963
COMP,6.7426,1,2023.3,20233,124.6389
COMP,40.5155,9,2023.4,20234,165.1544
IMMU,19.7245,10,2018.4,20184,19.7245
IMMU,2.3568,1,2019.3,20193,22.0813
IMMU,18.4642,9,2019.4,20194,40.545500000000004
IMMU,17.4409,10,2020.4,20204,57.9864
IMMU,6.6903,1,2021.1,20211,64.6767
IMMU,1.9824,1,2021.2,20212,66.6591
IMMU,13.2674,8,2021.4,20214,79.9265
IMMU,7.7949,1,2022.3,20223,87.7214
IMMU,31.2052,9,2022.4,20224,118.92660000000001
IMMU,48.8768,10,2023.4,20234,167.8034
MEDI,5.496,3,2018.2,20182,5.496
MEDI,4.2636,3,2018.3,20183,9.7596
MEDI,277.0717,124,2018.4,20184,286.8313
MEDI,11.1988,7,2019.2,20192,298.0301
MEDI,1.9642,1,2019.3,20193,299.9943
MEDI,270.1514,122,2019.4,20194,570.1457
MEDI,10.6392,3,2020.1,20201,580.7849
MEDI,15.6006,5,2020.3,20203,596.3855
MEDI,249.5998,122,2020.4,20204,845.9853
MEDI,4.196,3,2021.2,20212,850.1813000000001
MEDI,5.6671,3,2021.3,20213,855.8484
MEDI,303.3081,124,2021.4,20214,1159.1565
MEDI,5.3858,3,2022.1,20221,1164.5423
MEDI,2.8125,2,2022.2,20222,1167.3548
MEDI,9.6909,2,2022.3,20223,1177.0457000000001
MEDI,361.7761,123,2022.4,20224,1538.8218000000002
MEDI,9.4636,3,2023.1,20231,1548.2854
MEDI,11.4988,8,2023.2,20232,1559.7842
MEDI,1.208,2,2023.3,20233,1560.9922000000001
MEDI,640.2262,117,2023.4,20234,2201.2183999999997
NEUR,30.0495,10,2018.4,20184,30.0495
NEUR,1.6085,1,2019.2,20192,31.657999999999998
NEUR,17.5108,9,2019.4,20194,49.1688
NEUR,4.8699,2,2020.1,20201,54.0387
NEUR,1.8807,1,2020.2,20202,55.919399999999996
NEUR,12.6995,7,2020.4,20204,68.6189
NEUR,32.2437,10,2021.4,20214,100.86259999999999
NEUR,1.9182,1,2022.3,20223,102.7808
NEUR,28.2523,9,2022.4,20224,131.0331
NEUR,1.808,1,2023.2,20232,132.84109999999998
NEUR,14.6335,2,2023.3,20233,147.47459999999998
NEUR,53.2939,7,2023.4,20234,200.7685
PHYS,23.7444,10,2018.4,20184,23.7444
PHYS,26.9808,10,2019.4,20194,50.7252
PHYS,18.4516,10,2020.4,20204,69.1768
PHYS,16.7512,10,2021.4,20214,85.928
PHYS,34.0808,10,2022.4,20224,120.00880000000001
PHYS,7.0614,1,2023.1,20231,127.0702
PHYS,2.0148,1,2023.2,20232,129.085
PHYS,40.7228,8,2023.4,20234,169.8078
