Class,Year.Quarter,Total Score,Paper Count,Cumulative_Total_Score
BIOC,2018.1,,,
BIOC,2018.2,1.4756,1.0,1.4756
BIOC,2018.3,1.4756,,2.9512
BIOC,2018.4,45.4153,19.0,48.3665
BIOC,2019.1,45.4153,,93.7818
BIOC,2019.2,4.0688,2.0,97.8506
BIOC,2019.3,4.0688,,101.91940000000001
BIOC,2019.4,37.203,18.0,139.1224
BIOC,2020.1,37.203,,176.3254
BIOC,2020.2,37.203,,213.5284
BIOC,2020.3,37.203,,250.7314
BIOC,2020.4,42.7312,20.0,293.4626
BIOC,2021.1,42.7312,,336.1938
BIOC,2021.2,1.1068,1.0,337.30060000000003
BIOC,2021.3,1.1068,,338.4074
BIOC,2021.4,40.6154,19.0,379.0228
BIOC,2022.1,40.6154,,419.63820000000004
BIOC,2022.2,40.6154,,460.2536
BIOC,2022.3,3.9876,2.0,464.2412
BIOC,2022.4,55.4757,18.0,519.7169
BIOC,2023.1,55.4757,,575.1926000000001
BIOC,2023.2,4.0296,2.0,579.2222
BIOC,2023.3,7.4568,1.0,586.679
BIOC,2023.4,87.5925,17.0,674.2715000000001
CHEM,2018.1,,,
CHEM,2018.2,,,
CHEM,2018.3,,,
CHEM,2018.4,17.3546,10.0,17.3546
CHEM,2019.1,17.3546,,34.7092
CHEM,2019.2,17.3546,,52.0638
CHEM,2019.3,17.3546,,69.4184
CHEM,2019.4,27.6131,10.0,97.03150000000001
CHEM,2020.1,27.6131,,124.6446
CHEM,2020.2,27.6131,,152.2577
CHEM,2020.3,27.6131,,179.8708
CHEM,2020.4,25.4374,10.0,205.3082
CHEM,2021.1,1.7523,1.0,207.0605
CHEM,2021.2,1.7523,,208.8128
CHEM,2021.3,1.7523,,210.5651
CHEM,2021.4,30.0819,9.0,240.647
CHEM,2022.1,30.0819,,270.7289
CHEM,2022.2,30.0819,,300.81080000000003
CHEM,2022.3,30.0819,,330.8927
CHEM,2022.4,31.4568,10.0,362.34950000000003
CHEM,2023.1,31.4568,,393.8063
CHEM,2023.2,6.9489,1.0,400.7552
CHEM,2023.3,6.9489,,407.70410000000004
CHEM,2023.4,56.4306,9.0,464.1347
COMP,2018.1,,,
COMP,2018.2,,,
COMP,2018.3,,,
COMP,2018.4,17.984,10.0,17.984
COMP,2019.1,17.984,,35.968
COMP,2019.2,17.984,,53.952000000000005
COMP,2019.3,17.984,,71.936
COMP,2019.4,22.7915,10.0,94.7275
COMP,2020.1,2.1335,1.0,96.861
COMP,2020.2,2.1335,,98.9945
COMP,2020.3,2.4222,1.0,101.4167
COMP,2020.4,22.6319,8.0,124.04860000000001
COMP,2021.1,22.6319,,146.6805
COMP,2021.2,22.6319,,169.31240000000003
COMP,2021.3,22.6319,,191.9443
COMP,2021.4,17.2307,10.0,209.175
COMP,2022.1,17.2307,,226.40570000000002
COMP,2022.2,17.2307,,243.6364
COMP,2022.3,17.2307,,260.8671
COMP,2022.4,32.7025,10.0,293.56960000000004
COMP,2023.1,32.7025,,326.2721
COMP,2023.2,32.7025,,358.9746
COMP,2023.3,6.7426,1.0,365.7172
COMP,2023.4,40.5155,9.0,406.2327
IMMU,2018.1,,,
IMMU,2018.2,,,
IMMU,2018.3,,,
IMMU,2018.4,19.7245,10.0,19.7245
IMMU,2019.1,19.7245,,39.449
IMMU,2019.2,19.7245,,59.1735
IMMU,2019.3,2.3568,1.0,61.5303
IMMU,2019.4,18.4642,9.0,79.9945
IMMU,2020.1,18.4642,,98.4587
IMMU,2020.2,18.4642,,116.9229
IMMU,2020.3,18.4642,,135.3871
IMMU,2020.4,17.4409,10.0,152.828
IMMU,2021.1,6.6903,1.0,159.5183
IMMU,2021.2,1.9824,1.0,161.5007
IMMU,2021.3,1.9824,,163.4831
IMMU,2021.4,13.2674,8.0,176.7505
IMMU,2022.1,13.2674,,190.0179
IMMU,2022.2,13.2674,,203.2853
IMMU,2022.3,7.7949,1.0,211.0802
IMMU,2022.4,31.2052,9.0,242.2854
IMMU,2023.1,31.2052,,273.49060000000003
IMMU,2023.2,31.2052,,304.6958
IMMU,2023.3,31.2052,,335.901
IMMU,2023.4,48.8768,10.0,384.7778
MEDI,2018.1,,,
MEDI,2018.2,5.496,3.0,5.496
MEDI,2018.3,4.2636,3.0,9.7596
MEDI,2018.4,277.0717,124.0,286.8313
MEDI,2019.1,277.0717,,563.903
MEDI,2019.2,11.1988,7.0,575.1018
MEDI,2019.3,1.9642,1.0,577.066
MEDI,2019.4,270.1514,122.0,847.2174
MEDI,2020.1,10.6392,3.0,857.8566000000001
MEDI,2020.2,10.6392,,868.4958
MEDI,2020.3,15.6006,5.0,884.0964
MEDI,2020.4,249.5998,122.0,1133.6962
MEDI,2021.1,249.5998,,1383.296
MEDI,2021.2,4.196,3.0,1387.492
MEDI,2021.3,5.6671,3.0,1393.1591
MEDI,2021.4,303.3081,124.0,1696.4672
MEDI,2022.1,5.3858,3.0,1701.853
MEDI,2022.2,2.8125,2.0,1704.6655
MEDI,2022.3,9.6909,2.0,1714.3564000000001
MEDI,2022.4,361.7761,123.0,2076.1325
MEDI,2023.1,9.4636,3.0,2085.5961
MEDI,2023.2,11.4988,8.0,2097.0949
MEDI,2023.3,1.208,2.0,2098.3029
MEDI,2023.4,640.2262,117.0,2738.5290999999997
NEUR,2018.1,,,
NEUR,2018.2,,,
NEUR,2018.3,,,
NEUR,2018.4,30.0495,10.0,30.0495
NEUR,2019.1,30.0495,,60.099
NEUR,2019.2,1.6085,1.0,61.707499999999996
NEUR,2019.3,1.6085,,63.315999999999995
NEUR,2019.4,17.5108,9.0,80.82679999999999
