Class,Year,Total Score,Cumulative Score
AGRI,2018,55.2286,55.2286
AGRI,2019,24.338900000000002,79.5675
AGRI,2020,51.0245,130.592
AGRI,2021,38.146699999999996,168.7387
AGRI,2022,90.4085,259.1472
AGRI,2023,40.2658,299.413
ARTS,2018,4.1732,4.1732
ARTS,2019,1.7913,5.964499999999999
ARTS,2020,6.2666,12.2311
ARTS,2021,2.6233,14.8544
ARTS,2022,6.6112,21.465600000000002
ARTS,2023,2.5864,24.052
BIOC,2018,109.1611,109.1611
BIOC,2019,43.1381,152.2992
BIOC,2020,68.5487,220.8479
BIOC,2021,72.8556,293.7035
BIOC,2022,122.1391,415.8426
BIOC,2023,55.88420000000001,471.7268
BUSI,2018,13.9805,13.9805
BUSI,2019,8.5863,22.5668
BUSI,2020,15.0502,37.617
BUSI,2021,5.1838,42.800799999999995
BUSI,2022,19.6071,62.4079
BUSI,2023,10.2455,72.6534
CENG,2018,56.3484,56.3484
CENG,2019,27.322699999999998,83.6711
CENG,2020,43.2092,126.8803
CENG,2021,49.0832,175.9635
CENG,2022,98.81540000000001,274.7789
CENG,2023,49.0081,323.78700000000003
CHEM,2018,91.3695,91.3695
CHEM,2019,47.1095,138.47899999999998
CHEM,2020,66.7504,205.2294
CHEM,2021,82.568,287.7974
CHEM,2022,121.8305,409.6279
CHEM,2023,66.1621,475.78999999999996
COMP,2018,23.6946,23.6946
COMP,2019,20.7579,44.4525
COMP,2020,23.012,67.4645
COMP,2021,15.0687,82.5332
COMP,2022,50.4612,132.99439999999998
COMP,2023,20.6055,153.5999
DECI,2018,3.3047999999999997,3.3047999999999997
DECI,2019,5.1114,8.4162
DECI,2020,4.7257,13.1419
DECI,2021,0.9085,14.0504
DECI,2022,3.8005,17.8509
DECI,2023,1.5877000000000001,19.4386
DENT,2018,14.492099999999999,14.492099999999999
DENT,2019,4.0845,18.5766
DENT,2020,6.2795000000000005,24.856099999999998
DENT,2021,6.0664,30.9225
DENT,2022,12.9487,43.8712
DENT,2023,11.8576,55.7288
EART,2018,40.6746,40.6746
EART,2019,13.2513,53.9259
EART,2020,29.5664,83.4923
EART,2021,20.0262,103.5185
EART,2022,27.0092,130.5277
EART,2023,9.7248,140.2525
ECON,2018,6.1614,6.1614
ECON,2019,6.7329,12.894300000000001
ECON,2020,11.8468,24.7411
ECON,2021,8.0725,32.8136
ECON,2022,11.4419,44.2555
