Class,Total Score,Paper Count,Year.Quarter
MATH,2.3369,14,2020.1
SOCI,4.5885,33,2020.1
PHYS,24.4616,80,2020.2
ARTS,1.787,7,2020.3
BUSI,4.3641,20,2020.1
NEUR,3.8609,11,2020.2
ECON,3.3577,16,2020.4
ENVI,14.2848,67,2020.2
CENG,9.9872,55,2020.3
PHAR,11.7375,37,2020.4
VETE,2.7761,15,2020.3
EART,7.3211,26,2020.3
MULT,3.0443,17,2020.3
HEAL,1.7445,12,2020.4
MATE,12.8698,63,2020.2
ENER,11.0686,50,2020.1
ARTS,1.2888,6,2020.4
AGRI,14.9514,71,2020.4
DENT,0.6856,7,2020.2
SOCI,5.2464,29,2020.4
COMP,6.7352,49,2020.4
MATH,2.6387,19,2020.3
COMP,5.5222,54,2020.2
ENGI,15.7697,86,2020.3
ENGI,18.2303,91,2020.1
ENVI,13.9017,70,2020.4
BIOC,15.295,77,2020.1
AGRI,8.0296,40,2020.1
ECON,3.6335,18,2020.1
IMMU,6.8225,33,2020.2
NEUR,2.4832,14,2020.3
CENG,12.9859,56,2020.2
MATE,14.4613,66,2020.4
SOCI,9.2942,44,2020.3
HEAL,0.9493,8,2020.1
ARTS,1.2616,9,2020.1
DENT,1.2382,9,2020.3
BIOC,12.08,61,2020.2
NURS,1.1606,8,2020.2
ARTS,1.9292,7,2020.2
MEDI,28.2655,177,2020.3
DECI,0.9077,9,2020.3
AGRI,15.838,69,2020.3
DENT,1.9108,12,2020.1
ENGI,15.6487,101,2020.2
MEDI,29.7357,177,2020.1
SOCI,5.6124,31,2020.2
MULT,1.6895,10,2020.1
BUSI,2.8724,16,2020.4
BUSI,3.6666,15,2020.2
HEAL,0.7397,6,2020.2
ECON,2.9087,15,2020.2
EART,6.1144,30,2020.2
BIOC,20.0124,95,2020.3
IMMU,7.5895,35,2020.4
IMMU,5.8402,26,2020.1
MULT,16.944,76,2020.4
ENER,9.7543,37,2020.2
NURS,1.4722,9,2020.4
VETE,3.0606,14,2020.1
MULT,1.7194,15,2020.2
NURS,0.7524,4,2020.1
PHAR,3.4007,16,2020.2
PSYC,2.1602,6,2020.1
EART,9.8649,33,2020.4
ECON,1.9469,12,2020.3
DECI,2.3847,29,2020.2
NURS,1.3159,8,2020.3
VETE,3.5239,22,2020.4
ENER,5.898,32,2020.3
COMP,4.1243,37,2020.1
MATH,4.8972,26,2020.2
PHYS,22.6091,62,2020.1
AGRI,12.2055,65,2020.2
CENG,7.8835,41,2020.1
NEUR,3.9256,15,2020.1
CHEM,12.0618,58,2020.1
ENER,11.7853,61,2020.4
CHEM,20.9207,95,2020.3
ENVI,12.5726,48,2020.1
PHYS,26.1695,86,2020.3
PSYC,1.3346,5,2020.3
PSYC,1.9321,9,2020.2
NEUR,7.1944,19,2020.4
COMP,6.6303,52,2020.3
PHAR,4.3901,29,2020.1
HEAL,0.8429,6,2020.3
MEDI,33.3908,197,2020.4
MATH,3.348,23,2020.4
VETE,1.3763,10,2020.2
BIOC,21.1613,84,2020.4
DECI,1.1308,13,2020.4
MEDI,28.3117,156,2020.2
ENVI,11.6325,52,2020.3
PHYS,24.9086,69,2020.4
DENT,2.4449,11,2020.4
DECI,0.3025,7,2020.1
PSYC,1.9436,7,2020.4
MATE,12.2749,67,2020.3
CENG,12.3526,61,2020.4
EART,6.266,23,2020.1
ENGI,16.3633,83,2020.4
CHEM,15.6784,60,2020.2
IMMU,8.753,44,2020.3
BUSI,4.1471,12,2020.3
CHEM,18.0895,83,2020.4
MATE,13.7573,67,2020.1
PHAR,10.3695,41,2020.3
ECON,1.7723,14,2021.4
EART,5.8043,27,2021.2
ECON,3.0239,9,2021.3
MATE,13.1212,60,2021.2
PSYC,3.0321,10,2021.3
AGRI,8.3272,62,2021.3
SOCI,3.9452,43,2021.3
COMP,2.1811,25,2021.3
PHAR,3.6484,30,2021.1
CHEM,15.4777,86,2021.3
CHEM,24.3452,121,2021.4
MEDI,24.8878,196,2021.2
NURS,1.6364,14,2021.2
ENGI,16.885,104,2021.2
VETE,1.3893,18,2021.2
CENG,12.2398,81,2021.4
ARTS,0.6449,9,2021.2
