Class,Year,Quarter,Total Score,Paper Count
MATH,2020,1,2.3369,14
SOCI,2020,1,4.5885,33
PHYS,2020,2,24.4616,80
ARTS,2020,3,1.787,7
BUSI,2020,1,4.3641,20
NEUR,2020,2,3.8609,11
ECON,2020,4,3.3577,16
ENVI,2020,2,14.2848,67
CENG,2020,3,9.9872,55
PHAR,2020,4,11.7375,37
VETE,2020,3,2.7761,15
EART,2020,3,7.3211,26
MULT,2020,3,3.0443,17
HEAL,2020,4,1.7445,12
MATE,2020,2,12.8698,63
ENER,2020,1,11.0686,50
ARTS,2020,4,1.2888,6
AGRI,2020,4,14.9514,71
DENT,2020,2,0.6856,7
SOCI,2020,4,5.2464,29
COMP,2020,4,6.7352,49
MATH,2020,3,2.6387,19
COMP,2020,2,5.5222,54
ENGI,2020,3,15.7697,86
ENGI,2020,1,18.2303,91
ENVI,2020,4,13.9017,70
BIOC,2020,1,15.295,77
AGRI,2020,1,8.0296,40
ECON,2020,1,3.6335,18
IMMU,2020,2,6.8225,33
NEUR,2020,3,2.4832,14
CENG,2020,2,12.9859,56
MATE,2020,4,14.4613,66
SOCI,2020,3,9.2942,44
HEAL,2020,1,0.9493,8
ARTS,2020,1,1.2616,9
DENT,2020,3,1.2382,9
BIOC,2020,2,12.08,61
NURS,2020,2,1.1606,8
ARTS,2020,2,1.9292,7
MEDI,2020,3,28.2655,177
DECI,2020,3,0.9077,9
AGRI,2020,3,15.838,69
DENT,2020,1,1.9108,12
ENGI,2020,2,15.6487,101
MEDI,2020,1,29.7357,177
SOCI,2020,2,5.6124,31
MULT,2020,1,1.6895,10
BUSI,2020,4,2.8724,16
BUSI,2020,2,3.6666,15
HEAL,2020,2,0.7397,6
ECON,2020,2,2.9087,15
EART,2020,2,6.1144,30
BIOC,2020,3,20.0124,95
IMMU,2020,4,7.5895,35
IMMU,2020,1,5.8402,26
MULT,2020,4,16.944,76
ENER,2020,2,9.7543,37
NURS,2020,4,1.4722,9
VETE,2020,1,3.0606,14
MULT,2020,2,1.7194,15
NURS,2020,1,0.7524,4
PHAR,2020,2,3.4007,16
PSYC,2020,1,2.1602,6
EART,2020,4,9.8649,33
ECON,2020,3,1.9469,12
DECI,2020,2,2.3847,29
NURS,2020,3,1.3159,8
VETE,2020,4,3.5239,22
ENER,2020,3,5.898,32
COMP,2020,1,4.1243,37
MATH,2020,2,4.8972,26
PHYS,2020,1,22.6091,62
AGRI,2020,2,12.2055,65
CENG,2020,1,7.8835,41
NEUR,2020,1,3.9256,15
CHEM,2020,1,12.0618,58
ENER,2020,4,11.7853,61
CHEM,2020,3,20.9207,95
ENVI,2020,1,12.5726,48
PHYS,2020,3,26.1695,86
PSYC,2020,3,1.3346,5
PSYC,2020,2,1.9321,9
NEUR,2020,4,7.1944,19
COMP,2020,3,6.6303,52
PHAR,2020,1,4.3901,29
HEAL,2020,3,0.8429,6
MEDI,2020,4,33.3908,197
MATH,2020,4,3.348,23
VETE,2020,2,1.3763,10
BIOC,2020,4,21.1613,84
DECI,2020,4,1.1308,13
MEDI,2020,2,28.3117,156
ENVI,2020,3,11.6325,52
PHYS,2020,4,24.9086,69
DENT,2020,4,2.4449,11
DECI,2020,1,0.3025,7
PSYC,2020,4,1.9436,7
MATE,2020,3,12.2749,67
CENG,2020,4,12.3526,61
EART,2020,1,6.266,23
ENGI,2020,4,16.3633,83
CHEM,2020,2,15.6784,60
IMMU,2020,3,8.753,44
BUSI,2020,3,4.1471,12
CHEM,2020,4,18.0895,83
MATE,2020,1,13.7573,67
PHAR,2020,3,10.3695,41
ECON,2021,4,1.7723,14
EART,2021,2,5.8043,27
ECON,2021,3,3.0239,9
MATE,2021,2,13.1212,60
PSYC,2021,3,3.0321,10
AGRI,2021,3,8.3272,62
