Class,Total Score,Paper Count,Year.Quarter,Year_Quarter_Sortable,Cumulative_Total_Score
AGRI,10.9842,37,2018.1,20181,10.9842
AGRI,10.9573,39,2018.2,20182,21.941499999999998
AGRI,16.3176,48,2018.3,20183,38.2591
AGRI,16.9695,53,2018.4,20184,55.2286
AGRI,7.5469,35,2019.1,20191,62.775499999999994
AGRI,4.8535,37,2019.2,20192,67.62899999999999
AGRI,4.6837,33,2019.3,20193,72.31269999999999
AGRI,7.2548,51,2019.4,20194,79.5675
AGRI,8.0296,40,2020.1,20201,87.5971
AGRI,12.2055,65,2020.2,20202,99.8026
AGRI,15.838,69,2020.3,20203,115.64059999999999
AGRI,14.9514,71,2020.4,20204,130.59199999999998
AGRI,10.7815,65,2021.1,20211,141.3735
AGRI,7.7657,52,2021.2,20212,149.1392
AGRI,8.3272,62,2021.3,20213,157.4664
AGRI,11.2723,76,2021.4,20214,168.7387
AGRI,29.5053,97,2022.1,20221,198.244
AGRI,19.4891,75,2022.2,20222,217.73309999999998
AGRI,17.7787,80,2022.3,20223,235.5118
AGRI,23.6354,96,2022.4,20224,259.1472
AGRI,19.0883,89,2023.1,20231,278.2355
AGRI,9.3119,56,2023.2,20232,287.5474
AGRI,8.4567,56,2023.3,20233,296.0041
AGRI,3.4089,23,2023.4,20234,299.413
ARTS,1.4097,7,2018.1,20181,1.4097
ARTS,0.2412,2,2018.2,20182,1.6509
ARTS,2.0764,5,2018.3,20183,3.7273
ARTS,0.4459,1,2018.4,20184,4.1732000000000005
ARTS,0.2732,5,2019.1,20191,4.4464
ARTS,0.5767,6,2019.2,20192,5.0231
ARTS,0.2232,4,2019.3,20193,5.2463
ARTS,0.7182,5,2019.4,20194,5.9645
ARTS,1.2616,9,2020.1,20201,7.226100000000001
ARTS,1.9292,7,2020.2,20202,9.1553
ARTS,1.787,7,2020.3,20203,10.9423
ARTS,1.2888,6,2020.4,20204,12.2311
ARTS,1.022,12,2021.1,20211,13.2531
ARTS,0.6449,9,2021.2,20212,13.898
ARTS,0.6118,11,2021.3,20213,14.5098
ARTS,0.3446,9,2021.4,20214,14.8544
ARTS,2.2239,17,2022.1,20221,17.0783
ARTS,0.871,7,2022.2,20222,17.9493
ARTS,1.1543,7,2022.3,20223,19.1036
ARTS,2.362,10,2022.4,20224,21.465600000000002
ARTS,0.6521,8,2023.1,20231,22.1177
ARTS,0.6495,8,2023.2,20232,22.7672
ARTS,1.2848,9,2023.3,20233,24.052
BIOC,22.0499,60,2018.1,20181,22.0499
BIOC,29.38,65,2018.2,20182,51.4299
BIOC,32.8972,74,2018.3,20183,84.3271
BIOC,24.834,72,2018.4,20184,109.1611
BIOC,10.3035,67,2019.1,20191,119.4646
BIOC,9.5664,64,2019.2,20192,129.031
BIOC,10.4801,67,2019.3,20193,139.5111
BIOC,12.7881,91,2019.4,20194,152.2992
BIOC,15.295,77,2020.1,20201,167.5942
BIOC,12.08,61,2020.2,20202,179.6742
BIOC,20.0124,95,2020.3,20203,199.6866
BIOC,21.1613,84,2020.4,20204,220.8479
BIOC,21.9412,97,2021.1,20211,242.7891
BIOC,9.9691,78,2021.2,20212,252.7582
BIOC,14.5296,101,2021.3,20213,267.2878
BIOC,26.4157,115,2021.4,20214,293.7035
BIOC,38.3653,106,2022.1,20221,332.0688
BIOC,28.7012,99,2022.2,20222,360.77
BIOC,27.5947,104,2022.3,20223,388.36469999999997
BIOC,27.4779,119,2022.4,20224,415.8426
BIOC,27.2112,113,2023.1,20231,443.0538
BIOC,14.2768,86,2023.2,20232,457.3306
BIOC,10.0627,63,2023.3,20233,467.3933
BIOC,4.3335,22,2023.4,20234,471.7268
BUSI,6.1433,9,2018.1,20181,6.1433
BUSI,2.9227,12,2018.2,20182,9.065999999999999
BUSI,1.2938,5,2018.3,20183,10.3598
BUSI,3.6207,11,2018.4,20184,13.9805
BUSI,5.5014,19,2019.1,20191,19.4819
BUSI,1.2307,9,2019.2,20192,20.7126
