Class,Year,Quarter,Total Score,Paper Count
PHYS,2018,4,52.4063,62
MULT,2018,4,27.4537,38
PHAR,2018,4,4.8911,8
VETE,2018,4,1.7496,17
MATE,2018,4,19.5015,27
DECI,2018,4,1.9935,6
IMMU,2018,4,7.8116,17
COMP,2018,4,14.7723,35
AGRI,2018,4,14.0508,24
DENT,2018,4,1.9395,4
SOCI,2018,4,6.007,10
BIOC,2018,4,26.8404,42
NURS,2018,4,1.9355,4
ENVI,2018,4,20.1071,21
CENG,2018,4,16.0083,16
NEUR,2018,4,11.4949,6
BUSI,2018,4,5.2824,7
ENGI,2018,4,22.1751,45
ENER,2018,4,14.6091,15
ECON,2018,4,1.1972,4
ARTS,2018,4,0.7646,1
HEAL,2018,4,0.3974,1
EART,2018,4,18.6654,14
MATH,2018,4,1.069,8
MEDI,2018,4,38.9558,78
CHEM,2018,4,23.1498,32
