Class,Year,Quarter,Total Score,Paper Count
ECON,2020,4,2.3348,10
PHAR,2020,4,4.2148,7
HEAL,2020,4,0.3751,2
ARTS,2020,4,0.9924,5
AGRI,2020,4,7.2225,26
SOCI,2020,4,4.4255,19
COMP,2020,4,4.67,19
ENVI,2020,4,8.3829,30
MATE,2020,4,9.5041,33
BUSI,2020,4,1.9929,9
IMMU,2020,4,3.6551,15
MULT,2020,4,16.5399,48
NURS,2020,4,0.9236,4
EART,2020,4,5.32,16
VETE,2020,4,1.3838,10
ENER,2020,4,3.5239,17
NEUR,2020,4,3.3017,5
MEDI,2020,4,21.9197,85
MATH,2020,4,1.2455,6
BIOC,2020,4,8.1521,33
DECI,2020,4,0.8773,4
PHYS,2020,4,13.2428,21
DENT,2020,4,0.6664,3
PSYC,2020,4,1.5061,4
CENG,2020,4,5.0308,19
ENGI,2020,4,10.1883,37
CHEM,2020,4,6.0002,25
