Class,Year,Quarter,Total Score,Paper Count
ECON,2021,4,3.6937,4
CHEM,2021,4,16.7873,29
CENG,2021,4,14.8222,25
HEAL,2021,4,0.3992,1
NEUR,2021,4,3.4274,4
MULT,2021,4,16.4398,34
SOCI,2021,4,11.2623,32
NURS,2021,4,2.8652,6
PSYC,2021,4,0.3859,1
DECI,2021,4,0.7891,1
MATE,2021,4,10.9713,24
BUSI,2021,4,2.1614,6
PHYS,2021,4,15.1135,21
AGRI,2021,4,12.5649,29
ARTS,2021,4,1.3127,7
COMP,2021,4,7.0688,15
IMMU,2021,4,12.75,16
BIOC,2021,4,19.8316,33
ENGI,2021,4,15.3244,33
ENVI,2021,4,18.3833,35
EART,2021,4,7.3468,15
PHAR,2021,4,6.4219,9
VETE,2021,4,2.5806,11
DENT,2021,4,1.3426,3
MATH,2021,4,0.9895,3
ENER,2021,4,7.7941,14
MEDI,2021,4,46.1198,97
