Class,Year,Quarter,Total Score,Paper Count
BUSI,2022,4,1.8821,4
ECON,2022,4,0.6407,2
EART,2022,4,3.1128,7
COMP,2022,4,8.7806,21
PHYS,2022,4,26.7429,25
ARTS,2022,4,1.9275,4
VETE,2022,4,4.8329,13
DECI,2022,4,2.2747,5
AGRI,2022,4,12.5491,24
ENER,2022,4,12.6295,20
HEAL,2022,4,1.9474,3
IMMU,2022,4,8.2621,16
NEUR,2022,4,2.3776,4
SOCI,2022,4,7.8827,19
ENGI,2022,4,29.8093,44
CHEM,2022,4,18.1077,31
DENT,2022,4,0.362,2
PSYC,2022,4,0.6191,1
CENG,2022,4,17.7147,25
ENVI,2022,4,13.5927,23
NURS,2022,4,1.0685,5
MATE,2022,4,18.2513,23
MEDI,2022,4,40.7682,86
MATH,2022,4,3.4316,11
MULT,2022,4,25.3626,51
PHAR,2022,4,9.8335,17
BIOC,2022,4,16.3678,32
