Class,Year,Quarter,Total Score,Paper Count
ENVI,2023,4,17.1993,24
PHAR,2023,4,6.9541,8
ECON,2023,4,1.8,3
MEDI,2023,3,0.2266,4
ARTS,2023,3,0.9772,1
MEDI,2023,4,29.2222,55
EART,2023,4,1.2457,2
AGRI,2023,3,2.1653,3
HEAL,2023,4,2.4963,7
BUSI,2023,4,3.1622,5
BUSI,2023,3,0.8867,1
IMMU,2023,4,3.7855,5
BIOC,2023,4,22.4152,22
CHEM,2023,3,0.5939,1
ENGI,2023,3,7.7526,5
NURS,2023,4,1.3616,3
MATH,2023,3,0.445,1
MATE,2023,3,1.8153,2
PHYS,2023,3,7.4466,6
MATH,2023,4,1.7198,3
PSYC,2023,4,0.5809,2
ENGI,2023,4,18.2213,22
IMMU,2023,3,1.3331,2
NEUR,2023,4,1.7383,2
AGRI,2023,4,17.7913,23
SOCI,2023,3,0.9772,1
ENER,2023,4,9.4838,13
PHYS,2023,4,11.8804,16
SOCI,2023,4,5.8769,8
DENT,2023,4,10.6579,20
MATE,2023,4,19.0238,22
CENG,2023,4,18.0422,20
MULT,2023,4,68.5077,93
VETE,2023,4,2.0388,4
DECI,2023,4,1.7423,3
ENER,2023,3,1.3317,2
VETE,2023,3,0.9656,2
EART,2023,3,0.9772,1
CHEM,2023,4,20.451,32
ENVI,2023,3,1.8639,2
COMP,2023,4,6.2661,8
BIOC,2023,3,0.807,3
